NAME OF STATE ,NAME OF DISTRICT,Cumulative Actual (mm) (2017-2023),Cumulative Normal (mm)(2017-2023),Cumulative Deviation (mm) (2017-2023)
UTTAR PRADESH,BARA BANKI,8360.58,8484,1.45
UTTAR PRADESH,AZAMGARH,8823.19,8493.6,-3.88
UTTAR PRADESH,ALIGARH,7958.45,5844.8,-36.16
UTTAR PRADESH,BAGHPAT,7415.83,5192,-42.83
UTTAR PRADESH,HARDOI,7871.59,7481.6,-5.21
UTTAR PRADESH,RAE BARELI,6953.62,7592.8,8.42
UTTAR PRADESH,GHAZIPUR,7859.58,8421.6,6.67
UTTAR PRADESH,KAUSHAMBI,7441.56,-,-
UTTAR PRADESH,BULANDSHAHR,6556.24,6276,-4.47
UTTAR PRADESH,DEORIA,10298.46,9056.8,-13.71
UTTAR PRADESH,BAHRAICH,10159.37,9149.6,-11.04
UTTAR PRADESH,GORAKHPUR,9289.4,10074.4,7.79
UTTAR PRADESH,BIJNOR,10018.15,8748,-14.52
UTTAR PRADESH,BANDA,8477.05,7780.8,-8.95
UTTAR PRADESH,MUZAFFARNAGAR,8278.18,6669.6,-24.12
UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),8678.88,7867.2,-10.32
UTTAR PRADESH,HAMIRPUR,7245.23,6604.8,-9.7
UTTAR PRADESH,ETAWAH,7205.01,6860,-5.03
UTTAR PRADESH,PRATAPGARH,7299.02,-,-
UTTAR PRADESH,MORADABAD,8181.51,7889.6,-3.7
UTTAR PRADESH,AGRA,13817.55,6232,-121.72
UTTAR PRADESH,JAUNPUR,8472.63,8044,-5.33
UTTAR PRADESH,KANPUR NAGAR,6915.01,6772,-2.11
UTTAR PRADESH,JHANSI,8358.62,7504.8,-11.38
UTTAR PRADESH,SIDDHARTH NAGAR,11838.26,9790.4,-20.92
UTTAR PRADESH,MEERUT,8260.87,7237.6,-14.14
UTTAR PRADESH,PILIBHIT,9828.7,9036,-8.77
UTTAR PRADESH,SHAHJAHANPUR,7555.68,7952,4.98
UTTAR PRADESH,KANPUR DEHAT,7023.71,6586.4,-6.64
UTTAR PRADESH,FIROZABAD,11754.11,6242.4,-88.29
UTTAR PRADESH,AYODHYA,9743.64,7767.2,-25.45
UTTAR PRADESH,KUSHINAGAR,12276.68,10589.6,-15.93
UTTAR PRADESH,JALAUN,6784.57,7036.8,3.58
UTTAR PRADESH,GHAZIABAD,6726.18,6002.4,-12.06
UTTAR PRADESH,ETAH,8861.95,6061.6,-46.2
UTTAR PRADESH,BALLIA,11385.31,7996,-42.39
UTTAR PRADESH,UNNAO,6921.97,7344,5.75
UTTAR PRADESH,MAU,9010.4,8938.4,-0.81
UTTAR PRADESH,SITAPUR,8259.23,7852,-5.19
UTTAR PRADESH,PRAYAGRAJ,7438.58,7359.2,-1.08
UTTAR PRADESH,BAREILLY,7906.99,8404,5.91
UTTAR PRADESH,SHRAWASTI,11186.14,9149.6,-22.26
UTTAR PRADESH,SULTANPUR,8309.33,8068.8,-2.98
UTTAR PRADESH,GONDA,11071.09,9334.4,-18.61
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,6200.65,-,-
UTTAR PRADESH,MAHARAJGANJ,10458.61,11495.2,9.02
UTTAR PRADESH,MAINPURI,6729.21,6100,-10.31
UTTAR PRADESH,KANSIRAM NAGAR,6295.07,-,-
UTTAR PRADESH,VARANASI,7934.21,7560.8,-4.94
UTTAR PRADESH,AURAIYA,7074.74,6698.4,-5.62
UTTARAKHAND,HARDWAR,11271.19,8436,-33.61
UTTARAKHAND,NAINITAL,13172.69,14649.6,10.08
UTTARAKHAND,ALMORA,15216,9436.8,-61.24
UTTARAKHAND,PITHORAGARH,14209.33,15058.4,5.64
UTTARAKHAND,CHAMOLI,18685.78,9346.4,-99.92
UTTARAKHAND,DEHRADUN,12725.73,16525.6,22.99
UTTARAKHAND,GARHWAL,15788.8,12311.2,-28.25
UTTARAKHAND,UDHAM SINGH NAGAR,12407.14,10976.8,-13.03
UTTARAKHAND,BAGESHWAR,18862.92,-,-
UTTARAKHAND,RUDRAPRAYAG,18084.82,16947.2,-6.71
UTTARAKHAND,UTTARKASHI,13229.8,14064,5.93
UTTARAKHAND,TEHRI GARHWAL,16533.58,10015.2,-65.08
UTTARAKHAND,CHAMPAWAT,11969.43,13186.4,9.23
WEST BENGAL,MURSHIDABAD,25585.05,10988.8,-132.83
WEST BENGAL,BIRBHUM,29687.64,11279.2,-163.21
WEST BENGAL,KOLKATA,32368.62,-,-
WEST BENGAL,HAORA,31890.85,12831.2,-148.54
WEST BENGAL,PASHCHIM MEDINIPUR,26996.98,13014.4,-107.44
WEST BENGAL,BANKURA,27579.79,10936.8,-152.17
WEST BENGAL,PURBA MEDINIPUR,27519.77,-,-
WEST BENGAL,UTTAR DINAJPUR,21571.95,12873.6,-67.57
WEST BENGAL,HUGLI,29060.98,11220.8,-158.99
WEST BENGAL,MALDAH,20739.34,10816,-91.75
WEST BENGAL,PURULIYA,18761.24,10609.6,-76.83
WEST BENGAL,DAKSHIN DINAJPUR,22565.57,12873.6,-75.29
WEST BENGAL,DARJILING,35368.01,21868,-61.73
WEST BENGAL,JALPAIGURI,29312.37,26560.8,-10.36
WEST BENGAL,NORTH 24 PARGANAS,29295.47,13127.2,-123.17
WEST BENGAL,NADIA,28620.25,9713.6,-194.64
WEST BENGAL,KOCH BIHAR,35463.74,25704,-37.97
WEST BENGAL,SOUTH 24 PARGANAS,30010.43,14052,-113.57
WEST BENGAL,BARDDHAMAN,32334.48,11048.8,-192.65
INDIA,-,,,
