S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
223,JHARKHAND,CHATRA,25140.17,753.86,1554.12,2670.89,30119.04,27586.39,5917,8331.5,19254.81,30.2
224,JHARKHAND,DEOGHAR,15252.19,415.31,1019.55,1557.77,18244.82,16842.09,4859.63,7115.5,9726.51,42.25
225,JHARKHAND,DHANBAD,16082.13,2032.64,1284.17,3474.36,22873.3,21364.22,2414.5,16300.15,5732.1,76.3
226,JHARKHAND,DUMKA,22916.01,459.81,1357.58,1823.19,26556.59,24335.31,3690.75,5903.15,18432.14,24.26
227,JHARKHAND,EAST SINGHBHUM,21843.62,245.93,2294.08,976.04,25359.67,22991.49,1301,4575.78,18415.65,19.9
228,JHARKHAND,GARHWA,25544.86,673.23,2144.45,2669.65,31032.19,28617.56,5157.63,7278.91,21338.55,25.44
229,JHARKHAND,GIRIDIH,41825.69,649.04,2293.74,2487.58,47256.05,43485.57,6578.63,11587.5,31898,26.65
230,JHARKHAND,GODDA,19014.46,258.68,1854.2,882.37,22009.71,20076.42,1698.5,4180.75,15895.62,20.82
231,JHARKHAND,GUMLA,42961.41,261.41,4712.07,1028.07,48962.96,44295.4,3589.5,5275.92,39019.42,11.91
232,JHARKHAND,HAZARIBAGH,27943.34,838.42,2532.37,3049.52,34363.65,31579.71,7238.25,11105.16,20474.48,35.17
233,JHARKHAND,JAMTARA,8074.83,577.17,568.12,2302.74,11522.86,10616.86,2060.25,3289.33,7327.51,30.98
234,JHARKHAND,KHUNTI,12976.92,169.18,997.74,664.75,14808.59,13540.16,2265,3131.58,10408.55,23.13
235,JHARKHAND,KODERMA,7660.66,186.34,203.09,744.01,8794.1,8048.38,1947.38,3086.26,4962.08,38.35
236,JHARKHAND,LATEHAR,19579.37,546.62,1292.83,2114.29,23533.11,21743.18,4948.5,6330.79,15412.35,29.12
237,JHARKHAND,LOHARDAGA,17146.98,147.31,1845.92,580.3,19720.51,17963.95,1793.5,2467.37,15496.54,13.74
238,JHARKHAND,PAKUR,11628.02,388.86,756.09,1546.81,14319.78,13343.84,1131.5,2662.18,10681.62,19.95
239,JHARKHAND,PALAMAU,30212.86,963.28,1523.56,3789.8,36489.5,33605.98,6210,9637.12,23968.77,28.68
240,JHARKHAND,RAMGARH,9360.67,581.11,517.79,991.51,11451.08,10340.23,1405.25,7292.98,3047.21,70.53
241,JHARKHAND,RANCHI,36519.48,670.1,2661.27,2420.04,42270.89,38822,7897.88,12943.07,25878.83,33.34
242,JHARKHAND,SAHEBGANJ,20486.4,377.01,1503.51,1495.73,23862.65,21504.93,1147,3610.17,17894.72,16.79
243,JHARKHAND,SARAIKELA - KHARSAWAN,12283.03,363.38,968.91,1443.75,15059.07,13553.16,739.5,2674.12,10879.01,19.73
244,JHARKHAND,SIMDEGA,29535.04,102.44,2565.09,395.94,32598.51,29988.56,1807,2734.59,27253.91,9.12
245,JHARKHAND,WEST SINGHBHUM,28105,390.68,3131,1543.73,33170.41,30139.73,1527.5,4254.53,25885.13,14.12
246,KARNATAKA,BAGALKOTE,10477.24,21996.09,5949.99,15172.94,53596.26,49105.42,43221.71,46412.27,8581.31,94.52
247,KARNATAKA,BALLARI,20038.42,17031.85,13407.76,11495.3,61973.33,56233.13,27270.44,30196.35,25555.72,53.7
248,KARNATAKA,BELAGAVI,24203.17,36407.35,10925.76,21458.54,92994.83,85800.06,57186.82,65303.5,22234.42,76.11
249,KARNATAKA,BENGALURU RURAL,10030.93,3217.15,4998.61,3266.05,21512.75,19920.63,23137.08,24556.48,0,123.27
250,KARNATAKA,BENGALURU URBAN,5636.04,2009.56,3623.57,2335.78,13604.94,12764.76,16997.34,18357.55,0,143.81
251,KARNATAKA,BIDAR,28734.1,2149.88,3874.19,3696.44,38454.6,36112.06,14144.38,15291.8,20729.31,42.35
252,KARNATAKA,CHAMRAJNAGARA,22352.92,7909.49,6062.49,4853.7,41178.59,38831.29,29633.13,32100.29,7761.34,82.67
253,KARNATAKA,CHIKBALLAPUR,12920.76,9415.14,7900.98,5591.41,35828.29,32877.41,50906.69,53955.34,0,164.11
254,KARNATAKA,CHIKKAMAGALURU,35855.69,12370.05,12862.31,8964.15,70052.19,57417.27,26667.19,29015.84,29623.61,50.54
255,KARNATAKA,CHITRADURGA,17804.11,7332.88,15463.17,8238.35,48838.51,45350.82,47969.25,52167.07,3971.29,115.03
256,KARNATAKA,DAKSHIN KANNADA,37400.72,1763.57,7174.05,3108.93,49447.27,29731.83,16068.17,18611.01,10941.01,62.6
257,KARNATAKA,DAVANGERE,18077.32,15762.44,13696.62,23940.01,71476.39,66058.73,58179.35,61424.33,8358.28,92.98
258,KARNATAKA,DHARWAD,10790.5,4140.64,6235.62,3877.1,25043.85,20696.58,11596.84,12694.41,7514.91,61.34
259,KARNATAKA,GADAG,6049.26,7504.44,6011.61,8600.05,28165.35,26394.49,22175.82,23860.85,3397.35,90.4
260,KARNATAKA,HASSAN,21453.38,27587.43,13069.44,18157.57,80267.82,71362.06,42034.71,45232.23,27053.42,63.38
261,KARNATAKA,HAVERI,12629.17,22914.69,9235.47,15745.02,60524.35,55742.66,29402.17,31677.78,23491.5,56.83
262,KARNATAKA,KALABURAGI,37689.57,3108.96,9048.7,5122.77,54970,50768.72,16805.85,20579.29,29764.7,40.54
263,KARNATAKA,KODAGU,22710.98,2532.31,9156.02,2454.16,36853.46,31335.71,8829.55,10509.3,20349.54,33.54
264,KARNATAKA,KOLAR,15936.03,8918.46,7515.11,9278.49,41648.09,39539.25,78747.74,83540.8,0,211.29
265,KARNATAKA,KOPPAL,10628.83,18930.66,7018,22523.88,59101.37,54980.23,29268,31118.02,23369.8,56.6
266,KARNATAKA,MANDYA,11155.86,54173.08,7481.59,15549.24,88359.76,82669.43,46594.47,49009.75,31873.82,59.28
267,KARNATAKA,MYSURU,27551.67,28487.71,12551.05,10004.29,78594.72,73123.62,26747.49,37495.31,33191.34,51.28
268,KARNATAKA,RAICHUR,15046.91,19693.9,9152.18,31843.88,75736.86,69962.6,27692.29,30718.17,37490.74,43.91
269,KARNATAKA,RAMANAGARA,6892.9,10549.34,7003.89,6668.95,31115.08,29689.74,26876.22,28668.09,1384.74,96.56
270,KARNATAKA,SHIVAMOGGA,43623.92,28103.19,11424.19,18773.26,101924.56,87945.65,27770.39,30804.28,56481.55,35.03
271,KARNATAKA,TUMAKURU,22351.35,21430.05,20112,12412.3,76305.69,71531.77,59684.29,64847.59,12049.52,90.66
272,KARNATAKA,UDUPI,42595.58,1633.25,5995.48,1710.56,51934.87,31409.21,9441.83,13148.38,18005.27,41.86
273,KARNATAKA,UTTAR KANNADA,62185.34,22783.03,5611.27,6296.24,96875.89,61710.76,21200.73,24799.68,36644.77,40.19
274,KARNATAKA,VIJAYAPURA,29466.66,5399.38,9209.48,8791.73,52867.25,48908.7,30057.84,33526.7,14772.62,68.55
275,KARNATAKA,YADGIR,16407.06,10756.21,5425.01,12015.25,44603.53,41343.06,12366.11,14029.9,26579.59,33.94
276,KERALA,ALAPPUZHA,25864.83,95.99,7090.63,10869,43920.45,40457.33,3982.61,13664.76,26891.33,33.78
277,KERALA,ERNAKULAM,34333.66,359.69,7264.2,13545.26,55502.81,49952.53,8862.61,21894.88,26741.34,43.83
278,KERALA,IDUKKI,15343.49,208.49,3275.63,1854.21,20681.82,18613.64,6295.75,10866.04,7747.6,58.38
279,KERALA,KANNUR,38938.74,0,0,6899.83,45838.56,41254.71,8888.11,18785.37,21812.71,45.54
280,KERALA,KASARGOD,26319.15,772.81,0,4658.31,31750.27,28575.25,16450.76,22757.58,5176.3,79.64
281,KERALA,KOLLAM,23868.19,149.12,8949.21,3880.61,36847.12,33293.56,5351.11,16466.28,15132.31,49.46
282,KERALA,KOTTAYAM,27883.63,116.03,6607.36,7008.47,41615.49,37453.94,5243.1,13603.71,22964.75,36.32
283,KERALA,KOZHIKODE,28333.75,168.91,4020.81,1489.48,34012.94,30611.65,5078.46,17761.63,11315.67,58.02
284,KERALA,MALAPPURAM,37390.3,355.78,5982.19,8553.02,52281.29,47053.16,10113.27,31627.38,11440.78,67.22
285,KERALA,PALAKKAD,28693.26,770.96,6097.53,30153.58,65715.33,59143.78,19420.79,33238.72,25106.52,56.2
