S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
348,MAHARASHTRA,CHANDRAPUR,97204.67,4834.16,1471.94,10306.92,113817.69,107908.82,10637,20865.01,86024.26,19.34
349,MAHARASHTRA,DHULE,44091.26,7170.15,0,20694.25,71955.66,67778.81,34545.18,36331.79,27103.92,53.6
350,MAHARASHTRA,GADCHIROLI,94138.79,2040.86,0,10389.57,106569.21,100598.96,19177.22,22820.69,77233.95,22.68
351,MAHARASHTRA,GONDIA,42884.11,6619.76,645.56,15779.95,65929.38,62004.77,9398.54,15383.64,46068.04,24.81
352,MAHARASHTRA,HINGOLI,46490.02,1492.73,1340.56,28431.41,77754.73,73816.84,37052.52,39215.55,29356.05,53.13
353,MAHARASHTRA,JALGAON,86052.15,6375.98,574.14,44902.36,137904.63,130930.48,100695.03,105575.29,20161.03,80.63
354,MAHARASHTRA,JALNA,57320.69,2522.77,115.46,24898.25,84857.16,80235.38,42433.06,43793.81,33882.56,54.58
355,MAHARASHTRA,KOLHAPUR,52822.22,9290.17,753.39,66060.06,128925.84,122084.14,49557.12,51308.88,70530.02,42.03
356,MAHARASHTRA,LATUR,45726.03,6929.64,0,16210.55,68866.23,65413.03,34270.64,36412.97,27018.98,55.67
357,MAHARASHTRA,NAGPUR,66817.65,6221.47,2587.51,19143,94769.63,89604.53,35642.88,45961.83,43300.72,51.29
358,MAHARASHTRA,NANDED,98215.34,843.03,3504.27,17403.1,119965.73,113963.17,34916.94,38187,69718.04,33.51
359,MAHARASHTRA,NANDURBAR,39060.71,2624.03,0,8939.55,50624.3,47422.91,17590.86,20655.56,17941.71,43.56
360,MAHARASHTRA,NASHIK,133827.97,14203.47,0,48347.66,196379.1,185635.32,104572.27,108090.8,76211,58.23
361,MAHARASHTRA,OSMANABAD,60460.58,6503.68,2583.66,15676.73,85224.64,80963.41,48461.89,50767.51,26268.67,62.7
362,MAHARASHTRA,PALGHAR,19011.8,241.69,0,3425.04,22678.53,21316.58,3703.08,4588.44,13311.58,21.53
363,MAHARASHTRA,PARBHANI,56000.04,1487.22,645.42,25891.57,84024.26,79714.11,35761.68,37745.96,34333.14,47.35
364,MAHARASHTRA,PUNE,96075.81,18178.58,1263.73,69875.02,185393.14,175378.6,118190.27,126440,52295.08,72.1
365,MAHARASHTRA,RAIGAD,33614.36,382.59,0,5438.27,39435.22,37431.36,4205.89,6362.23,27475.71,17
366,MAHARASHTRA,RATNAGIRI,41118.99,118.2,0,2025.51,43262.7,41102.03,5064.58,6326.39,34388.3,15.39
367,MAHARASHTRA,SANGLI,51956.77,18938.07,0.61,61752.24,132647.69,123687.67,69493.03,72831.37,50768.5,58.88
368,MAHARASHTRA,SATARA,53177.54,10002.24,3762.79,32613.32,99555.89,94421.14,57746.57,62576.37,31168.68,66.27
369,MAHARASHTRA,SINDHUDURG,22398.94,176.99,0,2133.28,24709.22,23442.45,7030.04,9262.78,14001.05,39.51
370,MAHARASHTRA,SOLAPUR,90200.57,10809.87,2954.07,40676.66,144641.17,137267.2,102711.83,107574.53,34029.08,78.37
371,MAHARASHTRA,THANE,15200.67,283.85,0,2214.31,17698.83,16651.14,2348.32,3054.56,12898.65,18.34
372,MAHARASHTRA,WARDHA,60064.39,1128.37,1229.63,21008.25,83430.64,79068.08,39911.98,43384.7,35457.78,54.87
373,MAHARASHTRA,WASHIM,40996.75,2586.44,68.86,12236.61,55888.66,52899.29,29499.37,31504.67,20926.03,59.56
374,MAHARASHTRA,YAWATMAL,94994.19,2676.32,5793.54,16403.96,119868.02,113552,28111.93,33864.46,70167.01,29.82
375,MANIPUR,BISHNUPUR,4485.43,129.87,3287.35,259.8,8162.5,7346.2,57.19,81.14,6593.14,1.1
376,MANIPUR,CHANDEL,0,0,0,0,0,0,0,0,0,0
377,MANIPUR,CHURACHANDPUR,2902.87,157.36,2127.5,314.71,5502.4,4952.19,75.25,95.21,4469.48,1.92
378,MANIPUR,IMPHAL EAST,2106.16,77.04,1543.6,155.26,3882.1,3493.85,6.02,34,2657.28,0.97
379,MANIPUR,JIRIBAM,4305.47,87.65,3155.46,174.95,7723.5,6951.18,27.09,54.04,6669.4,0.78
380,MANIPUR,IMPHAL WEST,4693.42,198.12,3439.79,397.88,8729.2,7856.3,105.35,166.24,6532.92,2.12
381,MANIPUR,SENAPATI,0,0,0,0,0,0,0,0,0,0
382,MANIPUR,TAMENGLONG,0,0,0,0,0,0,0,0,0,0
383,MANIPUR,THOUBAL,4648.21,311.92,3406.65,625.03,8991.8,8092.63,90.3,126.23,7368.31,1.56
384,MANIPUR,UKHRUL,0,0,0,0,0,0,0,0,0,0
385,MEGHALAYA,EAST GARO HILLS,2745.11,57.85,2014.64,15.53,4833.13,4349.81,0,20.42,4308.97,0.47
386,MEGHALAYA,EAST JAINTIA HILLS,12990.73,26.27,5023.89,6.78,18047.68,16242.91,0,54.01,16130.89,0.33
387,MEGHALAYA,EAST KHASI HILLS,7128.22,166.14,3297.08,40.78,10632.22,9569,0,234.61,9089.78,2.45
388,MEGHALAYA,NORTH GARO HILLS,12073.67,75.88,3773.95,20.61,15944.11,14349.7,51,75.3,14250.1,0.52
389,MEGHALAYA,RI-BHOI,10475.63,175.76,2099.16,155.12,12905.68,11615.11,0,65.55,11474.01,0.56
390,MEGHALAYA,SOUTH GARO HILLS,7386.53,69.6,2678.24,17.68,10152.06,9136.85,0,9.32,9118.2,0.1
391,MEGHALAYA,SOUTH WEST GARO HILLS,9928.03,106.39,3058.68,1330.07,14423.17,12548.1,2655.4,2783.22,9637.06,22.18
392,MEGHALAYA,SOUTH WEST KHASI HILLS,10174.64,24.39,2642.25,5.9,12847.18,11562.46,0,9.01,11544.44,0.08
393,MEGHALAYA,WEST GARO HILLS,23157.23,186.91,9411.18,534.7,33290.02,29365.91,102,414.77,28638.37,1.41
394,MEGHALAYA,WEST JAINTIA HILLS,11829.53,169.78,4571.08,46.5,16616.9,14955.21,5,59.33,14836.55,0.4
395,MEGHALAYA,WEST KHASI HILLS,28913.66,122.9,4374.25,29.63,33440.44,30096.4,0,14,30068.4,0.05
396,MIZORAM,AIZAWL,1035.99,0,518.14,0,1554.13,1398.71,0,192.94,1126.44,13.79
397,MIZORAM,CHAMPHAI,1129.77,0,396.83,0,1526.61,1373.95,0,43.89,1310.51,3.19
398,MIZORAM,KOLASIB,1306.08,0,674.92,0,1981,1782.9,0,29.66,1740.44,1.66
399,MIZORAM,LAWNGTLAI,3433.55,0,545.75,0,3979.3,3581.37,0,94.59,3436.38,2.64
400,MIZORAM,LUNGLEI,4793.93,0,932.58,0,5726.5,5153.85,0,192.64,4906.03,3.74
401,MIZORAM,MAMIT,3080.15,0,1624.59,0,4704.75,4234.27,0,92.39,4074.4,2.18
402,MIZORAM,SAIHA,658.16,0,159.47,0,817.63,735.87,0,39.05,676.18,5.31
403,MIZORAM,SERCHHIP,784.56,0,206.28,0,990.84,891.76,0,46.72,822.53,5.24
404,NAGALAND,DIMAPUR,8294.88,1363,3392.78,134,13184.66,11866.19,208.84,963.38,10762.93,8.12
405,NAGALAND,KIPHIRE,5222.34,0,1623.61,0,6845.95,6161.36,0,13.62,6151.43,0.22
406,NAGALAND,KOHIMA,15455.23,1708,4425.95,196,21785.18,19606.66,0,203.84,19369.51,1.04
407,NAGALAND,LONGLENG,4541.74,0,1484.21,0,6025.95,5423.36,0,27.69,5414.99,0.51
408,NAGALAND,MOKOKCHUNG,20948.89,0,6569.46,0,27518.35,24766.52,0,78.37,24700.24,0.32
409,NAGALAND,MON,19250.55,0,7107.02,0,26357.57,23721.81,0,204.59,23526.38,0.86
410,NAGALAND,PEREN,16439.43,0,5198.16,0,21637.59,19473.83,0,88.15,19383.25,0.45
411,NAGALAND,PHEK,18276.01,0,7239.7,0,25515.71,22964.14,0,38.42,22923.99,0.17
412,NAGALAND,TUENCHUNG,22382.03,0,6568.55,0,28950.58,26055.52,0,88.78,25963.53,0.34
413,NAGALAND,WOKHA,24753.67,0,6257.08,0,31010.75,27909.68,0,182.16,27728.2,0.65
414,NAGALAND,ZUNHEBOTO,9045.9,0,2564.99,0,11610.89,10449.8,0,71.12,10383.82,0.68
415,ODISHA,ANGUL,40918.06,8016.18,3962.33,5068.6,57965.17,54698.88,19842.55,24825.02,29220.51,45.38
416,ODISHA,BALASORE,63946.34,13973.34,17134.27,25217.46,120271.41,111581.03,60553.21,67289.64,43553.47,60.31
417,ODISHA,BARGARH,41040.64,12215.16,136.38,11941.23,65333.41,62066.73,25229.32,29889.2,31778.72,48.16
418,ODISHA,BHADRAK,17577.53,11087.14,4308.39,15763.32,48736.38,44625.45,24476.62,27333.5,17021.46,61.25
419,ODISHA,BOLANGIR,46705.54,5498.65,898.73,6580.74,59683.66,56091.36,19884.28,25049.38,30128.74,44.66
420,ODISHA,BOUDH,15719.95,3213.73,446.28,4048.53,23428.49,22093.4,8556.26,9879.73,12046.19,44.72
421,ODISHA,CUTTACK,45333.07,10664.44,9049.08,7932.29,72978.88,68227.29,20894.68,28839.81,38600.7,42.27
422,ODISHA,DEOGARH,22635.47,4325.72,1223.69,2910.58,31095.46,28799.93,13300.93,14323.15,14370.55,49.73
423,ODISHA,DHENKANAL,29674.7,8179.48,5442.07,2994.38,46290.63,42962.02,12266.54,16068.77,26560,37.4
424,ODISHA,GAJAPATI,12426.51,2564.56,4946.34,2536.35,22473.76,20792.07,4790.63,6508.44,14145.09,31.3
425,ODISHA,GANJAM,38130.93,25987.19,17236.11,12320.64,93674.87,86043.15,22434.96,34031.65,50525.16,39.55
426,ODISHA,JAGATSINGHPUR,17447.28,12952.8,4359.43,11033.97,45793.48,41882.2,21174.49,23969.85,17567.72,57.23
427,ODISHA,JAJPUR,33259.35,9369.34,7250.92,6174.69,56054.3,52301.51,27047.91,31871.59,20011.26,60.94
428,ODISHA,JHARSUGUDA,17492.03,1543.19,221.66,1977.96,21234.84,20007.55,5616.27,8656.34,11012.9,43.27
429,ODISHA,KALAHANDI,47562.29,10366.6,1803.22,9442.98,69175.09,64428.59,17276.44,22515.46,41249.61,34.95
430,ODISHA,KANDHAMAL,27069.53,3082.84,4436.16,3742.1,38330.63,35268,6731.75,9108.59,25929.07,25.83
431,ODISHA,KENDRAPARA,6440.35,4884.93,1731.64,4420.82,17477.74,15988.61,9202.83,10438.4,5445.19,65.29
432,ODISHA,KEONJHAR,63236.55,6628.07,11512.66,8773.49,90150.77,83868.89,27433.48,33508.69,49577.54,39.95
433,ODISHA,KHURDA,24954.24,8150.04,6000.27,8696.86,47801.41,44136.23,15210.85,21805.41,20838.37,49.4
434,ODISHA,KORAPUT,39704.02,2824.34,4155.74,4642.3,51326.4,47608.42,5783.31,10645.2,36363.49,22.36
435,ODISHA,MALKANGIRI,24116.19,3376.97,1152.11,3868.62,32513.89,30218.84,2986.82,4849.58,25047.83,16.05
436,ODISHA,MAYURBHANJ,88553.02,20433.95,18391.08,23645.41,151023.46,141553.17,46923.16,54997.07,85712.48,38.85
437,ODISHA,NABARANGAPUR,49146.54,2796.85,3944.29,3499.66,59387.34,55732.72,12771.4,16435.28,38779.13,29.49
438,ODISHA,NAYAGARH,25399.22,4104.08,5223.69,5504.78,40231.77,36974.65,10536.22,13499.12,22910.73,36.51
439,ODISHA,NUAPADA,22582.22,4454.1,706.77,4115.25,31858.34,30246.26,14266.04,15888.39,13893.34,52.53
440,ODISHA,PURI,30272.34,11901.03,7360.84,16809.44,66343.65,61117.78,25029.95,29713.74,30908.76,48.62
441,ODISHA,RAYAGADA,22195.6,2677.71,4429.71,2074.6,31377.62,28914.74,5235.67,8679.41,19881.98,30.02
442,ODISHA,SAMBALPUR,47820.48,6958.94,311.18,10624.63,65715.23,60801.91,12173.9,16080.88,44431.32,26.45
443,ODISHA,SUBARNAPUR,19918.53,3809.21,155.57,4316.71,28200.02,26471.12,9548.8,11383.5,14907.18,43
444,ODISHA,SUNDARGARH,71232.9,7828.77,2479.81,6338.09,87879.57,81586.3,21044.28,28681.71,52231.44,35.16
445,PUNJAB,AMRITSAR,30913.1,88382.03,8132.26,44164.69,171592.07,154432.86,217950.26,227964.11,0,147.61
446,PUNJAB,BARNALA,11860,36439.26,2291.59,13763.61,64354.46,57919.01,119753.01,122092.72,0,210.8
447,PUNJAB,BATHINDA,23526,65211.9,5103.14,59572.76,153413.8,141097.73,132148.5,137632.57,21994.43,97.54
448,PUNJAB,FARIDKOT,12240.19,38379.86,2201.59,14398.61,67220.25,60498.23,96432.07,101178.51,0,167.24
449,PUNJAB,FATEHGARH SAHIB,15745.54,32821.82,3589.65,9542.56,61699.56,55529.6,112087.21,115249.64,0,207.55
450,PUNJAB,FAZILKA,19944.33,45812.26,3258.04,33673.97,102688.6,92419.74,87076.15,91686.75,24647.38,99.21
451,PUNJAB,FEROZEPUR,19819.23,88613.36,5254.15,23748.79,137435.53,123691.98,199649.69,202825.23,0,163.98
452,PUNJAB,GURDASPUR,39037.45,95338.96,10704.47,27671.21,172752.1,156096.16,202477.32,209541.23,738.04,134.24
453,PUNJAB,HOSHIARPUR,45196.93,25468.49,12140.76,12163.96,94970.13,85930.92,84889.62,92120.11,10553.3,107.2
454,PUNJAB,JALANDHAR,35348.91,62312.87,8193,24552.87,130407.64,117366.88,268432.93,280696.87,0,239.16
455,PUNJAB,KAPURTHALA,21156.29,41573.51,5779.78,9413.89,77923.47,70131.1,151500.35,156919.49,0,223.75
456,PUNJAB,LUDHIANA,47045,114523.44,9961.7,43906.64,215436.78,193893.03,338377.09,354706.89,0,182.94
457,PUNJAB,MANSA,17519.23,56289.78,3536.2,36870.81,114216.02,102794.42,145381.42,145397.43,145.77,141.44
458,PUNJAB,MOGA,21395.41,76757.79,4251.41,17243.52,119648.13,107683.31,243449.7,247100.78,0,229.47
459,PUNJAB,MOHALI,17874.3,4132.63,4255.94,2134.52,28397.39,25832.24,23692.53,30869.18,2048.07,119.5
460,PUNJAB,MUKTSAR,18477.76,29431.84,3813.63,29942.86,81666.1,73499.49,51943.88,54648.72,19645.96,74.35
461,PUNJAB,NAWANSHAHAR,20468.27,29885.8,4890.58,15062.14,70306.79,63276.11,71052.69,73454.94,6616.5,116.09
462,PUNJAB,PATHANKOT,11575.76,8791.6,4284.07,6587.94,31239.36,28465.41,18741.52,21641.83,14633.61,76.03
463,PUNJAB,PATIALA,42500.59,72474.6,9144.31,28317.21,152436.72,137193.04,290318.74,297457.87,0,216.82
464,PUNJAB,ROPAR,16966.22,13807.89,4270.61,10033.9,45078.62,40570.76,44000.27,47625.69,7896.77,117.39
465,PUNJAB,SANGRUR,39219.62,81155.14,8857.52,30865.59,160097.86,144088.08,368502.31,374631.29,0,260
466,PUNJAB,TARN TARAN,26388.23,75249.29,7099.81,31359.75,140097.09,126087.38,188607.13,192793.91,0,152.91
467,RAJASTHAN,AJMER,31499.64,1909.99,0,6165.97,39575.6,35933.48,48623.83,53602.36,0,149.17
468,RAJASTHAN,ALWAR,67625.6,2334.06,7670.86,6876.18,84506.7,77256.12,133272.65,148795.88,0,192.6
469,RAJASTHAN,BANSWARA,11442.43,671.59,0,8804.14,20918.16,18954.16,8478.74,10525.83,7699.23,55.53
470,RAJASTHAN,BARAN,36016.4,3343.56,0,14570.65,53930.61,48834.41,52215.36,57970.13,5458.8,118.71
471,RAJASTHAN,BARMER,26062.15,848.48,1095.32,2337.67,30343.62,27591.2,29153.67,34284.65,1111.73,124.26
472,RAJASTHAN,BHARATPUR,35548.66,2103.91,1707.37,6165.18,45525.13,41633.61,42957.44,49904.3,0,119.87
473,RAJASTHAN,BHILWARA,46128.14,3370.82,0,10712.12,60211.07,54362.96,71234.43,75374.88,0,138.65
474,RAJASTHAN,BIKANER,25309.35,238.29,0,1056.16,26603.8,24098.53,33254.17,41034.31,3056.66,170.28
475,RAJASTHAN,BUNDI,25607.9,3117.63,0,23490.04,52215.57,47373.38,37377.47,39999.33,11977.46,84.43
476,RAJASTHAN,CHITTAURGARH,44079.09,2881.4,0,10838.87,57799.35,52477.94,71489.31,73046.64,0,139.19
477,RAJASTHAN,CHURU,12074.34,35.25,402.37,105.74,12617.69,11568.89,10251.14,12758.51,1700.28,110.28
478,RAJASTHAN,DAUSA,22053.97,1096.58,339.45,2170.75,25660.74,23122.73,38362.34,40804.96,0,176.47
479,RAJASTHAN,DHAULPUR,19953.14,1250.76,507.45,5118.52,26829.87,24358.9,27560.32,30538.21,915.27,125.37
480,RAJASTHAN,DUNGARPUR,8885.85,850.45,0,5171.62,14907.91,13466.43,8043.55,8847.49,4337.56,65.7
481,RAJASTHAN,GANGANAGAR,2210.84,19189.9,675.73,23394.56,45471.02,40923.91,15048.98,15750.38,24928.04,38.49
482,RAJASTHAN,HANUMANGARH,2558.6,7812.14,644.97,10004.22,21019.92,19047.46,11596.72,12401.02,6364.93,65.11
483,RAJASTHAN,JAIPUR,67725.26,2528.05,2717.35,6459,79429.66,71969.62,127627.58,158209.54,0,219.83
484,RAJASTHAN,JAISALMER,6675.67,20.93,0,67.65,6764.24,6087.82,15320.95,17828.21,0,292.85
485,RAJASTHAN,JALOR,41635.13,1163.35,0,10449.12,53247.59,48032.59,80857.75,85277.35,1226.27,177.54
486,RAJASTHAN,JHALAWAR,42154.25,2887.02,0,10237.03,55278.3,51135.76,48876.38,51255.53,3106.9,100.23
487,RAJASTHAN,JHUNJHUNUN,19229.72,399.9,1797.73,1605.89,23033.23,20785.24,36766.57,45251.41,0,217.71
488,RAJASTHAN,JODHPUR,41757.4,455.46,343.58,1398.79,43955.22,39710.05,71755.44,86806.36,2908.99,218.6
489,RAJASTHAN,KARAULI,35541.37,1124.88,0,3034.51,39700.76,35848.41,51625.62,56741.58,202.68,158.28
490,RAJASTHAN,KOTA,28567.82,5750.88,704.84,22295.64,57319.18,51737.08,46949.05,53513.68,3723.78,103.43
491,RAJASTHAN,NAGAUR,51135.16,304.2,4927.39,987.86,57354.61,52142.49,86573.31,101152.06,631.27,193.99
492,RAJASTHAN,PALI,42904.89,1150.86,0,5741.24,49796.99,45556.86,54088.68,57182.22,1022.26,125.52
493,RAJASTHAN,PRATAPGARH,14691.6,1405.81,0,4566.11,20663.52,19172.68,22976.94,23496.45,886.18,122.55
494,RAJASTHAN,RAJSAMAND,8162.25,681.32,126.2,2268.41,11238.18,10114.36,10550.75,12278.7,0,121.4
495,RAJASTHAN,SAWAI MADHOPUR,40235.26,1850.13,0,6918.79,49004.17,44982.58,49878.33,60525.22,0,134.55
496,RAJASTHAN,SIKAR,27738.92,859.39,802.04,1591.48,30991.84,27892.65,41094.91,49530.44,342.71,177.58
497,RAJASTHAN,SIROHI,30948.5,938.03,0,2837.73,34724.26,31661.61,31618.65,33006.17,1618.03,104.25
498,RAJASTHAN,TONK,31072.29,3525.37,0,11588.52,46186.17,41745.62,31884.16,39482.76,2833.47,94.58
499,RAJASTHAN,UDAIPUR,26718.64,2380.4,0,14613.91,43712.96,39341.66,37258.03,39874.31,1960.28,101.35
500,SIKKIM,EAST DISTRICT,71313.41,0,4524.55,0,75837.96,45047.03,0,45.74,44347.94,0.1
501,SIKKIM,SOUTH DISTRICT,45058.07,0,1682.41,0,46740.48,7361.71,0,41.66,6979.22,0.57
502,SIKKIM,NORTH DISTRICT,331775.32,0,34351.31,0,366126.63,78963.99,0,0,78863.29,0
503,SIKKIM,WEST DISTRICT,72113.99,0,2397.69,0,74511.68,20854.41,0,0,20537.83,0
504,TAMILNADU,ARIYALUR,21412.45,14301.91,3331.68,3348.16,42394.2,38154.78,14306.59,16524.39,21546.61,43.31
505,TAMILNADU,CHENNAI,1273.77,0,88.28,478.26,1840.3,1656.27,0,2846.77,0,171.88
506,TAMILNADU,COIMBATORE,15816.23,8600.94,6099.5,10118.32,40634.99,36571.49,39432.61,44563.24,1818.67,121.85
507,TAMILNADU,CUDDALORE,35024.19,97664.6,23046.5,5592.14,161327.42,145194.7,55604.58,89625.49,60231.3,61.73
508,TAMILNADU,DHARMAPURI,15368.45,15549.58,3890.1,6721.86,41529.99,37376.99,43580.17,47056.73,3028.7,125.9
509,TAMILNADU,DINDIGUL,33754.04,9327.61,6748.23,14171.97,64001.84,57601.66,61201.69,63692.05,10121.92,110.57
510,TAMILNADU,ERODE,17300.28,40945.99,5017.08,6502.14,69765.49,62788.94,56158.22,62187.75,8914.94,99.04
511,TAMILNADU,KANCHEEPURAM,30288.74,55675.46,3524.15,12997.15,102485.5,92236.95,56417.67,61501.65,31540.05,66.68
512,TAMILNADU,KANYAKUMARI,6682.62,12810.25,3047.84,3672.53,26213.24,23591.92,3915.99,6014.04,17007.89,25.49
513,TAMILNADU,KARUR,13721.53,10111.86,4133.44,3057.12,31023.95,27921.56,27539.31,28579.75,4896.65,102.36
514,TAMILNADU,KRISHNAGIRI,18201.41,13828.39,4656.5,5092.15,41778.46,37600.61,32871.87,44298.71,5320.71,117.81
515,TAMILNADU,MADURAI,20879.13,31368.31,4475.96,9738.96,66462.36,59816.12,37941.26,41693.06,19842.05,69.7
516,TAMILNADU,NAGAPATTINAM,5545.46,4985.93,802.51,1258.72,12592.62,11333.36,14444.18,15403.98,754.01,135.92
517,TAMILNADU,NAMAKKAL,16501.84,14044.08,3687.04,5304.19,39537.15,35583.43,45909.19,48103.77,3343.65,135.19
518,TAMILNADU,NILGIRIS,7297.01,396.1,1787.14,133.7,9613.95,8652.55,572,1105.38,7481.07,12.78
519,TAMILNADU,PERAMABALUR,11153.76,7937.7,2012.68,2836.08,23940.22,21546.19,24784.28,25951.21,2442.55,120.44
520,TAMILNADU,PUDUKOTTAI,38901.85,39725.65,8591.77,15230.75,102450.02,92205.01,41329.75,43171.84,48846.22,46.82
521,TAMILNADU,RAMANATHAPURAM,18818.43,30060.23,4557.26,8083.32,61519.25,55367.32,5741.16,7144.69,47954.27,12.9
522,TAMILNADU,SALEM,25606.71,14413.06,4957.48,9810.88,54788.13,49309.32,67012.62,71871.43,4144.87,145.76
523,TAMILNADU,SIVAGANGAI,26822.9,50315.45,4798.92,17586.28,99523.56,89571.2,14856.57,16272.31,73013.15,18.17
524,TAMILNADU,THANJAVUR,32171.27,35411.26,5325.1,9286.96,82194.59,73975.13,78884.05,81291.47,6711.2,109.89
525,TAMILNADU,THENI,13005.96,14074.61,8006.47,8202.44,43289.49,38960.55,28293.8,29048.01,10145.94,74.56
526,TAMILNADU,THIRUPPUR,19872.46,11392.7,6161.4,9803.14,47229.7,42506.73,47882.48,51208.63,1886.65,120.49
527,TAMILNADU,THIRUVALLUR,23141.54,63181.84,2168.28,2429.3,90920.97,81828.87,32107.97,57043.28,27100.09,69.71
528,TAMILNADU,THOOTHUKUDI,20284.35,22351.34,5735.75,6654.35,55025.79,49523.21,19781.45,21310.42,28938.53,43.03
529,TAMILNADU,TIRUNELVELI,29814.35,57379.94,9243.99,7563.91,104002.19,93601.97,58482.78,60488.31,40445.45,64.62
530,TAMILNADU,TIRUVANNAMALAI,36683.6,66936.05,4754.19,4419.76,112793.6,101514.24,102551.85,112605.02,3654.01,110.93
531,TAMILNADU,TIRUVARUR,9135.19,12168.1,1219.51,5641.15,28163.95,25347.55,21088.85,22372.48,5801.64,88.26
532,TAMILNADU,TRICHY,24011.32,34460.28,4465.68,5802.74,68740.03,61866.02,48016.29,55409.92,17031.14,89.56
533,TAMILNADU,VELLORE,24609.67,25744.61,7427.74,4897.06,62679.08,56411.17,53587.85,66447.9,5438.81,117.79
534,TAMILNADU,VILLUPURAM,29872.61,106907.54,28146.37,10725.46,175651.98,158086.78,139172.92,144185.17,26278.65,91.21
535,TAMILNADU,VIRUTHUNAGAR,23544.7,18698.96,6935.56,9119.2,58298.42,52468.58,32267.95,34161.57,20007.23,65.11
536,TELANGANA,ADILABAD,19190.11,1727.33,4064.27,3940.11,28921.82,26271.88,13717.99,16614.32,9151.28,63.24
537,TELANGANA,BHADRADRI KOTHAGUDEM,57693.51,2365.17,16717.87,4993.12,81769.67,74057.76,16405.4,19934.44,53451.64,26.92
538,TELANGANA,HYDERABAD,911.96,1672.36,352.13,1672.36,4608.79,4147.91,0,14164.39,0,341.48
539,TELANGANA,JAGTIAL,20699.16,7780.69,4835.11,13689.23,47004.19,42373.83,26861.89,31222.75,12204.45,73.68
540,TELANGANA,JANGAON,18871.46,2499.81,4994.81,6614.92,32980.99,30094.9,25735.52,27792.83,2586.98,92.35
541,TELANGANA,JAYASHANKAR BHUPALAPALLY,37709.62,7514.73,6131.88,13431.64,64787.87,59030.83,29076.75,31091.3,27418.25,52.67
542,TELANGANA,JOGULAMBA GADWAL,12506.76,1804.72,4126.24,2435.65,20873.38,18786.74,8141.88,8669,9433.47,46.14
543,TELANGANA,KAMAREDDY,26524,6584,7155,10673,50936,46636,34151,35993,9169,77.18
544,TELANGANA,KARIMNAGAR,16981.22,3248.98,3756.82,12725.44,36712.47,33160.4,22993.35,24965.77,7124.14,75.29
545,TELANGANA,KHAMMAM,38183.81,4736.4,10959.93,10349.66,64229.79,58886.02,34172.06,38115.01,21943.88,64.73
546,TELANGANA,KOMARAMBHEM ASIFABAD,31819,703,1596,1261,35379,32352,5321,7337,24694,22.68
547,TELANGANA,MAHABUBABAD,22106.49,5422.6,6112.54,9853.63,43495.26,40081.36,26071.31,28885.65,11062.07,72.07
548,TELANGANA,MAHABUBNAGAR,28664,5198,9113,9060,52035,47307,28684,32317,14472,68.31
549,TELANGANA,MANCHERIAL,38003.6,6021.23,6086.12,8819.81,58930.76,53580.95,20352.31,21981.6,30605.99,41.03
550,TELANGANA,MEDAK,24610,4758,3688,9799,42855,38571,23699,24608,12078,63.8
551,TELANGANA,MEDCHAL MALKAJGIRI,5263.44,487.64,1814.98,1048.73,8614.78,7753.01,2772.21,7286,882.52,93.98
552,TELANGANA,NAGARKURNOOL,32450,2887.51,12322.79,5996.66,53656.96,48291.26,27430.42,31824.76,15762.08,65.9
553,TELANGANA,NALGONDA,38917,8964,11369,23833,83083,75324,49929,55920,19150,74.24
554,TELANGANA,NIRMAL,33194,7171,5800,9517,55682,50469,16670,18718,31524,37.09
555,TELANGANA,NIZAMABAD,34984,13276,8087,26037,82384,74892,51289,56495,18336,75.44
556,TELANGANA,PEDDAPALLI,19081.14,5680.07,3848.87,15341.78,43951.86,39949.2,19149.09,20864.15,17936.8,52.23
557,TELANGANA,RAJANNA SIRCILLA,14713.49,2454.05,3796.08,5348.5,26312.12,24324.21,18435.91,19997.84,4584.19,82.21
558,TELANGANA,RANGAREDDY,24084.67,3480.65,8830.46,5512.78,41908.57,37987.6,25165.12,30881.04,6309.26,81.29
559,TELANGANA,SANGAREDDY,27589.54,3488.21,5755.72,5366.92,42200.39,38071.12,23411.78,26876.41,10038.84,70.6
560,TELANGANA,SIDDIPET,24946.64,7302.23,6758.71,12670,51677.58,46510.02,39812.83,43608.24,3291.51,93.76
561,TELANGANA,SURYAPET,21026.47,9794.01,7303.85,16665.05,54789.38,49896.38,27842.01,30568.73,17901.49,61.26
562,TELANGANA,VIKARABAD,23528,2169,5951,4624,36272,33069,15629,18624,13695,56.32
563,TELANGANA,WANAPARTHY,10459.02,2539.45,2335.44,3549.01,18882.92,17200.43,10013.16,11535.68,5123.99,67.07
564,TELANGANA,WARANGAL RURAL,16327.79,4593.01,4491.13,10125.37,35537.3,32017.51,25537.9,27584.14,4849.78,86.15
565,TELANGANA,WARANGAL URBAN,12206,2615,2666,4802,22289,20167,17145,18340,3373,90.94
566,TELANGANA,YADADRI BHONGIRI,22949.72,2663.52,7044.47,6477.54,39135.24,35450.24,23742,26580,7907.24,74.98
